recordStatus,lastDateModified,lastTimeModified,lastUserToModify,legDepartureDate,airlineCode,identifier,sequence,flightOriginDay,numericFlightDate,numGMTDate,STDudt,STAudt,tailNumber,numLastDateModified,flightStatus,origin,STDLocal,dispatchDesk,STDGMTVariance,destination,STALocal,STAGMTVariance,OAGEquipmentType,ACConfiguration,serviceType,originGate,ETDlocal,ETDudt,TAXIutc,OUTudt,OFFudt,destinationGate,ETAlocal,ETAudt,ONudt,INudt,previousTailNumber,ETE,DCNutc,ETOutc,EONutc,EDTCutc,flightType,newDepartureCity,newArrivalCity,SchedOAGEquipType,OAGEquipSubType,csvFSDailyID,tailNumBeforeCancel,CTAUTC,cancelled,replaced,ATCStatus,scheduledFlightType,aircraftRouting,mealService,hub,landingRestriction,headStartFlight,actualDeparture,specialFlight,actualArrival,scheduledTaxiOut,scheduledTaxiIn,STOSetByUser,STISetByUser,CTFlightNumber
,23APR18,1531,POST,23APR18,JBU,   1 ,10,23,20180423,20180423,1411,1719,903   ,20180423,,JFK ,1011,DM,-0400,FLL ,1319,-0400,321 ,,,,1011,1411,,,,2   ,1319,1719,,,,,,,,,0,,,321 ,,4775278,,,,0,0,0,> 202 ,,JFK,3,0,2018-04-23 14:11:00.000,0,2018-04-23 17:19:00.000,29,7,0,0,0001
,20APR18,1204,PLNK,23APR18,JBU,   5 ,10,23,20180423,20180423,1200,1458,526   ,20180420,,EWR ,0800,DM,-0400,FLL ,1058,-0400,320 ,,,,0800,1200,,,,,1058,1458,,,,,,,,,0,,,320 ,,4775290,,,,0,0,0,> 468 ,,JFK,3,1,2018-04-23 12:00:00.000,0,2018-04-23 14:58:00.000,25,7,0,0,0005
,20APR18,1204,PLNK,23APR18,JBU,   6 ,10,23,20180423,20180423,2308,0208,659   ,20180420,SC05,FLL ,1908,DM,-0400,EWR ,2208,-0400,320 ,,,,1908,2308,,,,,2208,0208,,,505 ,,,,,,0,,,320 ,,4775304,,,,0,0,0,>1389 ,,JFK,3,0,2018-04-23 23:08:00.000,0,2018-04-24 02:08:00.000,17,7,0,0,0006
,23APR18,0408,PLNK,23APR18,JBU,   7 ,10,23,20180423,20180424,0031,0606,603   ,20180423,SC05,FLL ,2031,DM,-0400,LAS ,2306,-0700,320 ,,,,2031,0031,,,,E09 ,2306,0606,,,583 ,,,,,,0,,,320 ,,4775310,,,,0,0,0,>   8 ,,JFK,3,0,2018-04-24 00:31:00.000,0,2018-04-24 06:06:00.000,17,7,0,0,0007
,23APR18,0413,PLNK,23APR18,JBU,   8 ,10,23,20180423,20180424,0656,1134,603   ,20180423,SC05,LAS ,2356,DM,-0700,FLL ,0734,-0400,320 ,,,E09 ,2356,0656,,,,,0734,1134,,,583 ,,,,,,0,,,320 ,,4775322,,,,0,0,0,>1423 ,,JFK,3,0,2018-04-24 06:56:00.000,0,2018-04-24 11:34:00.000,18,7,0,0,0008
,23APR18,0408,PLNK,23APR18,JBU,  14 ,10,23,20180423,20180424,0357,0913,655   ,20180423,SC14,LGB ,2057,DM,-0700,JFK ,0513,-0400,320 ,,,,2057,0357,,,,,0513,0913,,,521 ,,,,,,0,,,320 ,,4775334,,,,0,0,0,> 525 ,,JFK,3,0,2018-04-24 03:57:00.000,0,2018-04-24 09:13:00.000,13,7,0,0,0014
,20APR18,1204,PLNK,23APR18,JBU,  15 ,10,23,20180423,20180423,1110,1749,985   ,20180420,AU01,JFK ,0710,09,-0400,SFO ,1049,-0700,32S ,,,,0710,1110,,,,,1049,1749,,,934 ,,,,,,0,,,32S ,,4775346,,,,0,0,0,> 416 ,,JFK,3,1,2018-04-23 11:10:00.000,3,2018-04-23 17:49:00.000,29,7,0,0,0015
,20APR18,1204,PLNK,23APR18,JBU,  16 ,10,23,20180423,20180423,1351,1929,964   ,20180420,,SFO ,0651,DM,-0700,JFK ,1529,-0400,32S ,,,,0651,1351,,,,,1529,1929,,,,,,,,,0,,,32S ,,4775363,,,,0,0,0,>  89 ,,JFK,3,1,2018-04-23 13:51:00.000,0,2018-04-23 19:29:00.000,15,7,0,0,0016
,23APR18,0408,PLNK,23APR18,JBU,  19 ,10,23,20180423,20180423,2043,0310,947   ,20180423,,BOS ,1643,10,-0400,SAN ,2010,-0700,32S ,,,,1643,2043,,,,,2010,0310,,,,,,,,,0,,,32S ,,4775369,,,,0,0,0,>  20 ,,JFK,3,1,2018-04-23 20:43:00.000,0,2018-04-24 03:10:00.000,18,7,0,0,0019
,20APR18,1204,PLNK,23APR18,JBU,  20 ,10,23,20180423,20180424,0424,0951,947   ,20180420,,SAN ,2124,DM,-0700,BOS ,0551,-0400,32S ,,,,2124,0424,,,,,0551,0951,,,,,,,,,0,,,32S ,,4775382,,,,0,0,0,>1833 ,,JFK,3,0,2018-04-24 04:24:00.000,0,2018-04-24 09:51:00.000,19,7,0,0,0020
,20APR18,1204,PLNK,23APR18,JBU,  21 ,10,23,20180423,20180423,1154,1514,709   ,20180420,SC05,BOS ,0754,DM,-0400,PBI ,1114,-0400,32A ,,,,0754,1154,,,,,1114,1514,,,580 ,,,,,,0,,,320 ,,4775393,,,,0,0,0,>1142 ,,JFK,3,1,2018-04-23 11:54:00.000,3,2018-04-23 15:14:00.000,18,7,0,0,0021
,23APR18,0408,PLNK,23APR18,JBU,  22 ,10,23,20180423,20180424,0232,0529,615   ,20180423,SC06,PBI ,2232,DM,-0400,BOS ,0129,-0400,320 ,,,,2232,0232,,,,,0129,0529,,,590 ,,,,,,0,,,320 ,,4775404,,,,0,0,0,> 721 ,,JFK,3,0,2018-04-24 02:32:00.000,0,2018-04-24 05:29:00.000,14,7,0,0,0022
,23APR18,0414,PLNK,23APR18,JBU,  23 ,10,23,20180423,20180423,1000,1614,945   ,20180423,SC05,JFK ,0600,DM,-0400,LAX ,0914,-0700,32S ,,,,0600,1000,,,,,0914,1614,,,981 ,,,,,,0,,,32S ,,4775415,,,,0,0,0,> 324 ,,JFK,3,1,2018-04-23 10:00:00.000,3,2018-04-23 16:14:00.000,29,7,0,0,0023
,23APR18,1735,MXCL,23APR18,JBU,  24 ,10,23,20180423,20180423,1245,1810,969   ,20180423,SC05,LAX ,0545,DM,-0700,JFK ,1410,-0400,32S ,,,,0545,1245,,,,,1410,1810,,,943 ,,,,,,0,,,32S ,,4775425,,,,0,0,0,>1323 ,,JFK,3,1,2018-04-23 12:45:00.000,0,2018-04-23 18:10:00.000,15,7,0,0,0024
,20APR18,1204,PLNK,23APR18,JBU,  26 ,10,23,20180423,20180423,1446,1726,775   ,20180420,,TPA ,1046,DM,-0400,JFK ,1326,-0400,320 ,,,,1046,1446,,,,,1326,1726,,,,,,,,,0,,,320 ,,4775439,,,,0,0,0,> 575 ,,JFK,3,1,2018-04-23 14:46:00.000,0,2018-04-23 17:26:00.000,14,7,0,0,0026
,20APR18,1204,PLNK,23APR18,JBU,  27 ,10,23,20180423,20180423,0935,1214,519   ,20180420,SC01,EWR ,0535,DM,-0400,MCO ,0814,-0400,320 ,,,,0535,0935,,,,,0814,1214,,,590 ,,,,,,0,,,320 ,,4775451,,,,0,0,0,>  28 ,,JFK,3,1,2018-04-23 09:35:00.000,0,2018-04-23 12:14:00.000,25,7,0,0,0027
,23APR18,0408,PLNK,23APR18,JBU,  28 ,10,23,20180423,20180423,1315,1555,519   ,20180423,SC01,MCO ,0915,DM,-0400,EWR ,1155,-0400,320 ,,,,0915,1315,,,,,1155,1555,,,590 ,,,,,,0,,,320 ,,4775463,,,,0,0,0,>1973 ,,JFK,3,0,2018-04-23 13:15:00.000,0,2018-04-23 15:55:00.000,16,7,0,0,0028
,20APR18,1204,PLNK,23APR18,JBU,  33 ,10,23,20180423,20180423,1830,1955,187   ,20180420,,BTV ,1430,DM,-0400,JFK ,1555,-0400,E90 ,,,15  ,1430,1830,,,,,1555,1955,,,,,,,,,0,,,E90 ,,4775480,,,,0,0,0,> 105 ,,JFK,3,0,2018-04-23 18:30:00.000,0,2018-04-23 19:55:00.000,15,7,0,0,0033
,23APR18,0408,PLNK,23APR18,JBU,  34 ,10,23,20180423,20180423,1640,1755,187   ,20180423,,JFK ,1240,DM,-0400,BTV ,1355,-0400,E90 ,,,,1240,1640,,,,15  ,1355,1755,,,,,,,,,0,,,E90 ,,4775492,,,,0,0,0,>  33 ,,JFK,3,0,2018-04-23 16:40:00.000,0,2018-04-23 17:55:00.000,29,7,0,0,0034
,20APR18,1204,PLNK,23APR18,JBU,  38 ,10,23,20180423,20180423,2017,2318,583   ,20180420,SC05,SJO ,1417,13,-0600,FLL ,1918,-0400,320 ,,,,1417,2017,,,,,1918,2318,,,603 ,,,,,,0,,,320 ,,4775512,,,,0,0,0,> 799 ,,JFK,3,0,2018-04-23 20:17:00.000,0,2018-04-23 23:18:00.000,15,7,0,0,0038
,23APR18,1504,BTCH,23APR18,JBU,  39 ,10,23,20180423,20180423,1615,1917,583   ,20180423,SC05,FLL ,1215,DM,-0400,SJO ,1317,-0600,320 ,,,,1215,1615,,,,,1317,1917,,,603 ,,,,,,0,,,320 ,,4775521,,,,0,0,0,>  38 ,,JFK,3,0,2018-04-23 16:15:00.000,0,2018-04-23 19:17:00.000,17,7,0,0,0039
,20APR18,1204,PLNK,23APR18,JBU,  42 ,10,23,20180423,20180423,1534,1700,636   ,20180420,,LGB ,0834,06,-0700,RNO ,1000,-0700,320 ,,,,0834,1534,,,,B6  ,1000,1700,,,,,,,,,0,,,320 ,,4775544,,,,0,0,0,>  43 ,,JFK,3,0,2018-04-23 15:34:00.000,0,2018-04-23 17:00:00.000,13,7,0,0,0042
,20APR18,1204,PLNK,23APR18,JBU,  43 ,10,23,20180423,20180423,1740,1903,636   ,20180420,,RNO ,1040,06,-0700,LGB ,1203,-0700,320 ,,,B6  ,1040,1740,,,,,1203,1903,,,,,,,,,0,,,320 ,,4775556,,,,0,0,0,>1936 ,,JFK,3,0,2018-04-23 17:40:00.000,0,2018-04-23 19:03:00.000,15,7,0,0,0043
,20APR18,1204,PLNK,23APR18,JBU,  49 ,10,23,20180423,20180423,1436,1719,179   ,20180420,SC05,BOS ,1036,DM,-0400,SAV ,1319,-0400,E90 ,,,,1036,1436,,,,,1319,1719,,,192 ,,,,,,0,,,E90 ,,4775572,,,,0,0,0,>  50 ,,JFK,3,0,2018-04-23 14:36:00.000,0,2018-04-23 17:19:00.000,18,7,0,0,0049
,20APR18,1204,PLNK,23APR18,JBU,  50 ,10,23,20180423,20180423,1754,2020,179   ,20180420,SC05,SAV ,1354,DM,-0400,BOS ,1620,-0400,E90 ,,,,1354,1754,,,,,1620,2020,,,192 ,,,,,,0,,,E90 ,,4775582,,,,0,0,0,>1159 ,,JFK,3,0,2018-04-23 17:54:00.000,0,2018-04-23 20:20:00.000,15,7,0,0,0050
,20APR18,1204,PLNK,23APR18,JBU,  51 ,10,23,20180423,20180423,1000,1312,913   ,20180420,,BOS ,0600,DM,-0400,MCO ,0912,-0400,321 ,,,,0600,1000,,,,,0912,1312,,,,,,,,,0,,,321 ,,4775594,,,,0,0,0,> 252 ,,JFK,3,1,2018-04-23 10:00:00.000,3,2018-04-23 13:12:00.000,18,7,0,0,0051
,23APR18,1131,STAM,23APR18,JBU,  52 ,10,23,20180423,20180423,1103,1354,348   ,20180423,SC05,MCO ,0703,17,-0400,BOS ,0954,-0400,E90 ,,,,0703,1103,,,,,0954,1354,,,959 ,,,,,,0,,,321 ,,4775606,,,,0,0,0,> 451 ,,JFK,1,1,2018-04-23 11:03:00.000,3,2018-04-23 13:54:00.000,16,7,0,0,0052
,20APR18,1204,PLNK,23APR18,JBU,  53 ,10,23,20180423,20180423,1003,1252,966   ,20180420,,JFK ,0603,DM,-0400,PBI ,0852,-0400,321 ,,,,0603,1003,,,,,0852,1252,,,,,,,,,0,,,321 ,,4775618,,,,0,0,0,> 154 ,,JFK,3,1,2018-04-23 10:03:00.000,3,2018-04-23 12:52:00.000,29,7,0,0,0053
,20APR18,1204,PLNK,23APR18,JBU,  54 ,10,23,20180423,20180423,1030,1309,903   ,20180420,,PBI ,0630,DM,-0400,JFK ,0909,-0400,321 ,,,,0630,1030,,,,,0909,1309,,,,,,,,,0,,,321 ,,4775623,,,,0,0,0,>   1 ,,JFK,3,1,2018-04-23 10:30:00.000,0,2018-04-23 13:09:00.000,14,7,0,0,0054
,23APR18,0940,PLNK,23APR18,JBU,  56 ,10,23,20180423,20180423,1400,1525,-J5266,20180423,X100,IAD ,1000,DM,-0400,BOS ,1125,-0400,E90 ,,,,1000,1400,,,,,1125,1525,,,CANX,,,,,,0,,,E90 ,,4775635,266 ,,S,8,0,0,> 689 ,,JFK,3,0,2018-04-23 14:00:00.000,0,2018-04-23 15:25:00.000,0,0,0,0,0056
,23APR18,0939,HAMB,23APR18,JBU,  56 ,12,23,20180423,20180423,1400,1525,266   ,20180423,SC05,IAD ,1000,DM,-0400,BOS ,1125,-0400,E90 ,,,,1000,1400,,,,,1125,1525,,,368 ,,,,,,0,,,E90 ,,4825728,,,,8,0,0,> 689 ,,JFK,3,0,2018-04-23 14:00:00.000,0,2018-04-23 15:25:00.000,19,7,0,0,0056
,20APR18,1204,PLNK,23APR18,JBU,  57 ,10,23,20180423,20180423,1142,1324,266   ,20180420,SC05,BOS ,0742,DM,-0400,IAD ,0924,-0400,E90 ,,,,0742,1142,,,,,0924,1324,,,368 ,,,,,,0,,,E90 ,,4775646,,,,0,0,0,>  56 ,,JFK,3,0,2018-04-23 11:42:00.000,0,2018-04-23 13:24:00.000,18,7,0,0,0057
,23APR18,0408,PLNK,23APR18,JBU,  61 ,10,23,20180423,20180424,0215,0604,653   ,20180423,SC05,BOS ,2215,DM,-0400,SJU ,0204,-0400,320 ,,,,2215,0215,,,,,0204,0604,,,709 ,,,,,,0,,,320 ,,4775657,,,,0,0,0,> 262 ,,JFK,3,0,2018-04-24 02:15:00.000,0,2018-04-24 06:04:00.000,18,7,0,0,0061
,20APR18,1204,PLNK,23APR18,JBU,  62 ,10,23,20180423,20180423,1345,1630,649   ,20180420,SC05,PBI ,0945,DM,-0400,LGA ,1230,-0400,320 ,,,,0945,1345,,,,,1230,1630,,,645 ,,,,,,0,,,320 ,,4775669,,,,0,0,0,>1161 ,,JFK,3,0,2018-04-23 13:45:00.000,0,2018-04-23 16:30:00.000,14,7,0,0,0062
,20APR18,1204,PLNK,23APR18,JBU,  65 ,10,23,20180423,20180423,2342,0454,592   ,20180420,SC01,JFK ,1942,10,-0400,ABQ ,2254,-0600,320 ,,,,1942,2342,,,,B5  ,2254,0454,,,568 ,,,,,,0,,,320 ,,4775684,,,,0,0,0,>  66 ,,JFK,3,0,2018-04-23 23:42:00.000,0,2018-04-24 04:54:00.000,29,7,0,0,0065
,20APR18,1204,PLNK,23APR18,JBU,  66 ,10,23,20180423,20180424,0544,0950,592   ,20180420,SC01,ABQ ,2344,DM,-0600,JFK ,0550,-0400,320 ,,,B5  ,2344,0544,,,,,0550,0950,,,568 ,,,,,,0,,,320 ,,4775694,,,,0,0,0,> 765 ,,JFK,3,0,2018-04-24 05:44:00.000,0,2018-04-24 09:50:00.000,15,7,0,0,0066
,20APR18,1204,PLNK,23APR18,JBU,  69 ,10,23,20180423,20180423,1835,2202,659   ,20180420,SC05,BOS ,1435,DM,-0400,FLL ,1802,-0400,320 ,,,,1435,1835,,,,,1802,2202,,,505 ,,,,,,0,,,320 ,,4775709,,,,0,0,0,>   6 ,,JFK,2,0,2018-04-23 18:35:00.000,0,2018-04-23 22:02:00.000,18,7,0,0,0069
,23APR18,0408,PLNK,23APR18,JBU,  71 ,10,23,20180423,20180424,0129,0656,632   ,20180423,,JFK ,2129,06,-0400,SLC ,0056,-0600,320 ,,,,2129,0129,,,,,0056,0656,,,,,,,,,0,,,320 ,,4775716,,,,0,0,0,>2131 ,,JFK,3,0,2018-04-24 01:29:00.000,0,2018-04-24 06:56:00.000,29,7,0,0,0071
,23APR18,0414,PLNK,23APR18,JBU,  72 ,10,23,20180423,20180424,0512,0938,579   ,20180423,SC05,SLC ,2312,DM,-0600,JFK ,0538,-0400,320 ,,,,2312,0512,,,,,0538,0938,,,606 ,,,,,,0,,,320 ,,4775729,,,,0,0,0,> 949 ,,JFK,3,0,2018-04-24 05:12:00.000,0,2018-04-24 09:38:00.000,17,7,0,0,0072
,20APR18,1204,PLNK,23APR18,JBU,  76 ,10,23,20180423,20180423,1709,2004,368   ,20180420,SC05,MSY ,1209,DM,-0500,JFK ,1604,-0400,E90 ,,,C5  ,1209,1709,,,,,1604,2004,,,266 ,,,,,,0,,,E90 ,,4775740,,,,0,0,0,>2516 ,,JFK,3,0,2018-04-23 17:09:00.000,0,2018-04-23 20:04:00.000,14,7,0,0,0076
,20APR18,1204,PLNK,23APR18,JBU,  79 ,10,23,20180423,20180423,1650,1929,197   ,20180420,SC30,DCA ,1250,DM,-0400,FLL ,1529,-0400,E90 ,,,,1250,1650,,,,,1529,1929,,,265 ,,,,,,0,,,E90 ,,4775752,,,,0,0,0,>1580 ,,JFK,3,0,2018-04-23 16:50:00.000,0,2018-04-23 19:29:00.000,15,7,0,0,0079
,20APR18,1204,PLNK,23APR18,JBU,  80 ,10,23,20180423,20180424,0659,1212,828   ,20180420,,RNO ,2359,DM,-0700,JFK ,0812,-0400,32A ,,,B6  ,2359,0659,,,,,0812,1212,,,,,,,,,0,,,32A ,,4775760,,,,0,0,0,> 421 ,,JFK,3,0,2018-04-24 06:59:00.000,0,2018-04-24 12:12:00.000,15,7,0,0,0080
,23APR18,1356,PLNK,23APR18,JBU,  81 ,10,23,20180423,20180423,2313,0539,828   ,20180423,,JFK ,1913,DM,-0400,RNO ,2239,-0700,32A ,,,,1913,2313,,,,B6  ,2239,0539,,,,,,,,,0,,,32A ,,4775768,,,,0,0,0,>  80 ,,JFK,3,0,2018-04-23 23:13:00.000,0,2018-04-24 05:39:00.000,29,7,0,0,0081
X,29MAR18,1651,SKHA,23APR18,JBU,  85 ,10,23,20180423,20180423,1817,2059,-J2085,20180329,,BUF ,1417,DM,-0400,MCO ,1659,-0400,320 ,,,,1417,1817,,,,,1659,2059,,,,,,,,,0,,,320 ,,4775778,,,,0,0,0,> 656 ,,JFK,2,0,2018-04-23 18:17:00.000,0,2018-04-23 20:59:00.000,0,0,0,0,0085
,20APR18,1204,PLNK,23APR18,JBU,  85 ,10,23,20180423,20180423,1817,2059,640   ,20180420,SC03,BUF ,1417,DM,-0400,MCO ,1659,-0400,320 ,,J,,1417,1817,,,,,1659,2059,,,597 ,,,,,,0,,,320 ,,4824637,,,,0,0,0,,,JFK,3,0,2018-04-23 18:17:00.000,0,2018-04-23 20:59:00.000,13,7,0,0,0085
,20APR18,1204,PLNK,23APR18,JBU,  87 ,10,23,20180423,20180423,2131,0046,729   ,20180420,SC14,ALB ,1731,DM,-0400,FLL ,2046,-0400,320 ,,,B6  ,1731,2131,,,,,2046,0046,,,556 ,,,,,,0,,,320 ,,4775788,,,,0,0,0,> 976 ,,JFK,3,0,2018-04-23 21:31:00.000,0,2018-04-24 00:46:00.000,15,7,0,0,0087
,20APR18,1204,PLNK,23APR18,JBU,  88 ,10,23,20180423,20180423,1752,2051,729   ,20180420,SC14,FLL ,1352,DM,-0400,ALB ,1651,-0400,320 ,,,,1352,1752,,,,B6  ,1651,2051,,,556 ,,,,,,0,,,320 ,,4775800,,,,0,0,0,>  87 ,,JFK,3,0,2018-04-23 17:52:00.000,0,2018-04-23 20:51:00.000,17,7,0,0,0088
,23APR18,0408,PLNK,23APR18,JBU,  89 ,10,23,20180423,20180423,2048,0258,964   ,20180423,,JFK ,1648,10,-0400,SAN ,1958,-0700,32S ,,,,1648,2048,,,,,1958,0258,,,,,,,,,0,,,32S ,,4775812,,,,0,0,0,>  90 ,,JFK,3,0,2018-04-23 20:48:00.000,0,2018-04-24 02:58:00.000,29,7,0,0,0089
,20APR18,1204,PLNK,23APR18,JBU,  90 ,10,23,20180423,20180424,0415,0931,964   ,20180420,,SAN ,2115,DM,-0700,JFK ,0531,-0400,32S ,,,,2115,0415,,,,,0531,0931,,,,,,,,,0,,,32S ,,4775824,,,,0,0,0,> 415 ,,JFK,3,0,2018-04-24 04:15:00.000,0,2018-04-24 09:31:00.000,19,7,0,0,0090
,23APR18,0408,PLNK,23APR18,JBU,  97 ,10,23,20180423,20180424,0012,0459,907   ,20180423,SC05,JFK ,2012,06,-0400,DEN ,2259,-0600,321 ,,,,2012,0012,,,,A35 ,2259,0459,,,949 ,,,,,,0,,,321 ,,4775841,,,,0,0,0,>  98 ,,JFK,3,0,2018-04-24 00:12:00.000,0,2018-04-24 04:59:00.000,29,7,0,0,0097
,20APR18,1204,PLNK,23APR18,JBU,  98 ,10,23,20180423,20180424,0559,0943,907   ,20180420,SC05,DEN ,2359,DM,-0600,JFK ,0543,-0400,321 ,,,A35 ,2359,0559,,,,,0543,0943,,,949 ,,,,,,0,,,321 ,,4775854,,,,0,0,0,> 609 ,,JFK,3,0,2018-04-24 05:59:00.000,0,2018-04-24 09:43:00.000,15,7,0,0,0098
,23APR18,0408,PLNK,23APR18,JBU, 100 ,10,23,20180423,20180424,0416,0912,944   ,20180423,,LAX ,2116,08,-0700,FLL ,0512,-0400,32S ,,,,2116,0416,,,,,0512,0912,,,,,,,,,0,,,32S ,,4775865,,,,0,0,0,> 577 ,,JFK,3,0,2018-04-24 04:16:00.000,0,2018-04-24 09:12:00.000,15,7,0,0,0100
,20APR18,1204,PLNK,23APR18,JBU, 101 ,10,23,20180423,20180423,2110,0306,944   ,20180420,,FLL ,1710,DM,-0400,LAX ,2006,-0700,32S ,,,,1710,2110,,,,,2006,0306,,,,,,,,,0,,,32S ,,4775877,,,,0,0,0,> 100 ,,JFK,3,0,2018-04-23 21:10:00.000,0,2018-04-24 03:06:00.000,17,7,0,0,0101
,20APR18,1204,PLNK,23APR18,JBU, 102 ,10,23,20180423,20180423,2236,0011,190   ,20180420,,JFK ,1836,DM,-0400,BUF ,2011,-0400,E90 ,,,,1836,2236,,,,,2011,0011,,,,,,,,,0,,,E90 ,,4775889,,,,0,0,0,>1001 ,,JFK,3,0,2018-04-23 22:36:00.000,0,2018-04-24 00:11:00.000,29,7,0,0,0102
,20APR18,1204,PLNK,23APR18,JBU, 105 ,10,23,20180423,20180423,2032,2326,187   ,20180420,,JFK ,1632,DM,-0400,ORD ,1826,-0500,E90 ,,,,1632,2032,,,,,1826,2326,,,,,,,,,0,,,E90 ,,4775901,,,,0,0,0,>1106 ,,JFK,3,0,2018-04-23 20:32:00.000,0,2018-04-23 23:26:00.000,29,7,0,0,0105
