recordStatus,lastDateModified,lastTimeModified,lastUserToModify,legDepartureDate,airlineCode,identifier,sequence,flightOriginDay,numericFlightDate,numGMTDate,STDudt,STAudt,tailNumber,numLastDateModified,flightStatus,origin,STDLocal,dispatchDesk,STDGMTVariance,destination,STALocal,STAGMTVariance,OAGEquipmentType,ACConfiguration,serviceType,originGate,ETDlocal,ETDudt,TAXIutc,OUTudt,OFFudt,destinationGate,ETAlocal,ETAudt,ONudt,INudt,previousTailNumber,ETE,DCNutc,ETOutc,EONutc,EDTCutc,flightType,newDepartureCity,newArrivalCity,SchedOAGEquipType,OAGEquipSubType,csvFSDailyID,tailNumBeforeCancel,CTAUTC,cancelled,replaced,ATCStatus,scheduledFlightType,aircraftRouting,mealService,hub,landingRestriction,headStartFlight,actualDeparture,specialFlight,actualArrival,scheduledTaxiOut,scheduledTaxiIn,STOSetByUser,STISetByUser,CTFlightNumber
,26JAN19,1118,MJOH,02FEB19,JBU,   3 ,10,02,20190202,20190202,2030,0027,599   ,20190126,,JFK ,1530,DM,-0500,SJU ,2027,-0400,320 ,,,,1530,2030,,,,,2027,0027,,,,,,,,,0,,,320 ,,5156979,,,,0,0,0,>1234 ,,JFK,2,0,2019-02-02 20:30:00.000,0,2019-02-03 00:27:00.000,29,7,0,0,0003
,26JAN19,1117,MJOH,02FEB19,JBU,   4 ,10,02,20190202,20190203,0126,0521,630   ,20190126,,SJU ,2126,DM,-0400,JFK ,0021,-0500,320 ,,,,2126,0126,,,,,0021,0521,,,,,,,,,0,,,320 ,,5156990,,,,0,0,0,>1403 ,,JFK,2,0,2019-02-03 01:26:00.000,0,2019-02-03 05:21:00.000,17,7,0,0,0004
,27JAN19,1355,MJOH,02FEB19,JBU,   6 ,10,02,20190202,20190202,1824,2128,281   ,20190127,SC06,FLL ,1324,DM,-0500,EWR ,1628,-0500,E90 ,,,,1324,1824,,,,,1628,2128,,,284 ,,,,,,0,,,E90 ,,5157003,,,,0,0,0,>2580 ,,JFK,2,0,2019-02-02 18:24:00.000,0,2019-02-02 21:28:00.000,17,7,0,0,0006
,26JAN19,1130,MJOH,02FEB19,JBU,   7 ,10,02,20190202,20190202,2346,0522,632   ,20190126,AU01,FLL ,1846,DM,-0500,LAS ,2122,-0800,32M ,,,,1846,2346,,,,E10 ,2122,0522,,,646 ,,,,,,0,,,32M ,,5157012,,,,0,0,0,>   8 ,,JFK,2,0,2019-02-02 23:46:00.000,0,2019-02-03 05:22:00.000,17,7,0,0,0007
,26JAN19,1130,MJOH,02FEB19,JBU,   8 ,10,02,20190202,20190203,0609,1040,632   ,20190126,AU01,LAS ,2209,DM,-0800,FLL ,0540,-0500,32M ,,,E10 ,2209,0609,,,,,0540,1040,,,646 ,,,,,,0,,,32M ,,5157023,,,,0,0,0,>2470 ,,JFK,2,0,2019-02-03 06:09:00.000,0,2019-02-03 10:40:00.000,18,7,0,0,0008
,26JAN19,1052,MJOH,02FEB19,JBU,  11 ,10,02,20190202,20190203,0155,0451,328   ,20190126,,BOS ,2055,DM,-0500,ORD ,2251,-0600,E90 ,,,,2055,0155,,,,,2251,0451,,,,,,,,,0,,,E90 ,,5157040,,,,0,0,0,> 412 ,,JFK,2,0,2019-02-03 01:55:00.000,0,2019-02-03 04:51:00.000,18,7,0,0,0011
,27JAN19,0635,GDIC,02FEB19,JBU,  14 ,10,02,20190202,20190203,0440,0950,636   ,20190127,SC05,LGB ,2040,DM,-0800,JFK ,0450,-0500,320 ,,,,2040,0440,,,,,0450,0950,,,562 ,,,,,,0,,,320 ,,5157052,,,,0,0,0,> 949 ,,JFK,2,0,2019-02-03 04:40:00.000,0,2019-02-03 09:50:00.000,13,7,0,0,0014
,26JAN19,1103,MJOH,02FEB19,JBU,  16 ,10,02,20190202,20190202,1430,1955,991   ,20190126,AU01,SFO ,0630,DM,-0800,JFK ,1455,-0500,32S ,,,,0630,1430,,,,,1455,1955,,,935 ,,,,,,0,,,32S ,,5157071,,,,0,0,0,>  89 ,,JFK,2,0,2019-02-02 14:30:00.000,3,2019-02-02 19:55:00.000,15,7,0,0,0016
,26JAN19,1052,MJOH,02FEB19,JBU,  18 ,10,02,20190202,20190202,1959,2117,179   ,20190126,,JFK ,1459,DM,-0500,BOS ,1617,-0500,E90 ,,,,1459,1959,,,,,1617,2117,,,,,,,,,0,,,E90 ,,5157086,,,,0,0,0,>1865 ,,JFK,2,0,2019-02-02 19:59:00.000,0,2019-02-02 21:17:00.000,29,7,0,0,0018
,26JAN19,1634,CKAI,02FEB19,JBU,  19 ,10,02,20190202,20190202,2100,0339,961   ,20190126,AU01,BOS ,1600,DM,-0500,SAN ,1939,-0800,32S ,,,,1600,2100,,,,,1939,0339,,,976 ,,,,,,0,,,32S ,,5157093,,,,0,0,0,>  90 ,,JFK,2,0,2019-02-02 21:00:00.000,0,2019-02-03 03:39:00.000,18,7,0,0,0019
,26JAN19,1103,MJOH,02FEB19,JBU,  20 ,10,02,20190202,20190203,0515,1033,991   ,20190126,AU01,SAN ,2115,DM,-0800,BOS ,0533,-0500,32S ,,,,2115,0515,,,,,0533,1033,,,935 ,,,,,,0,,,32S ,,5157105,,,,0,0,0,> 487 ,,JFK,2,0,2019-02-03 05:15:00.000,0,2019-02-03 10:33:00.000,19,7,0,0,0020
,26JAN19,2004,MJOH,02FEB19,JBU,  22 ,10,02,20190202,20190203,0120,0417,796   ,20190126,SC06,PBI ,2020,DM,-0500,BOS ,2317,-0500,320 ,,,,2020,0120,,,,,2317,0417,,,563 ,,,,,,0,,,320 ,,5157115,,,,0,0,0,> 483 ,,JFK,2,0,2019-02-03 01:20:00.000,0,2019-02-03 04:17:00.000,14,7,0,0,0022
,26JAN19,1103,MJOH,02FEB19,JBU,  24 ,10,02,20190202,20190202,1340,1858,962   ,20190126,,LAX ,0540,DM,-0800,JFK ,1358,-0500,32S ,,,,0540,1340,,,,,1358,1858,,,,,,,,,0,,,32S ,,5157135,,,,0,0,0,> 915 ,,JFK,2,1,2019-02-02 13:40:00.000,0,2019-02-02 18:58:00.000,15,7,0,0,0024
,26JAN19,1103,MJOH,02FEB19,JBU,  25 ,10,02,20190202,20190202,1250,1738,947   ,20190126,,BOS ,0750,DM,-0500,BGI ,1338,-0400,32S ,,,,0750,1250,,,,,1338,1738,,,,,,,,,0,,,32S ,,5157145,,,,0,0,0,>  44 ,,JFK,2,1,2019-02-02 12:50:00.000,0,2019-02-02 17:38:00.000,18,7,0,0,0025
