recordStatus,lastDateModified,lastTimeModified,lastUserToModify,legDepartureDate,airlineCode,identifier,sequence,flightOriginDay,numericFlightDate,numGMTDate,STDudt,STAudt,tailNumber,numLastDateModified,flightStatus,origin,STDLocal,dispatchDesk,STDGMTVariance,destination,STALocal,STAGMTVariance,OAGEquipmentType,ACConfiguration,serviceType,originGate,ETDlocal,ETDudt,TAXIutc,OUTudt,OFFudt,destinationGate,ETAlocal,ETAudt,ONudt,INudt,previousTailNumber,ETE,DCNutc,ETOutc,EONutc,EDTCutc,flightType,newDepartureCity,newArrivalCity,SchedOAGEquipType,OAGEquipSubType,csvFSDailyID,tailNumBeforeCancel,CTAUTC,cancelled,replaced,ATCStatus,scheduledFlightType,aircraftRouting,mealService,hub,landingRestriction,headStartFlight,actualDeparture,specialFlight,actualArrival,scheduledTaxiOut,scheduledTaxiIn,STOSetByUser,STISetByUser,CTFlightNumber
,26JAN19,1209,PLNK,29JAN19,JBU,   3 ,10,29,20190129,20190129,2030,0027,599   ,20190126,SC05,JFK ,1530,01,-0500,SJU ,2027,-0400,320 ,,,,1530,2030,,,,,2027,0027,,,586 ,,,,,,0,,,320 ,,5143484,,,,0,0,0,>   4 ,,JFK,3,0,2019-01-29 20:30:00.000,0,2019-01-30 00:27:00.000,29,7,0,0,0003
,27JAN19,1205,PLNK,29JAN19,JBU,   4 ,10,29,20190129,20190130,0126,0521,599   ,20190127,SC05,SJU ,2126,01,-0400,JFK ,0021,-0500,320 ,,,,2126,0126,,,,,0021,0521,,,586 ,,,,,,0,,,320 ,,5143492,,,,0,0,0,>1403 ,,JFK,3,0,2019-01-30 01:26:00.000,0,2019-01-30 05:21:00.000,17,7,0,0,0004
,27JAN19,0936,POST,29JAN19,JBU,   6 ,10,29,20190129,20190129,1939,2244,519   ,20190127,SC05,FLL ,1439,02,-0500,EWR ,1744,-0500,320 ,,,,1439,1939,,,,16A ,1744,2244,,,794 ,,,,,,0,,,320 ,,5143508,,,,0,0,0,> 905 ,,JFK,3,0,2019-01-29 19:39:00.000,0,2019-01-29 22:44:00.000,17,7,0,0,0006
,27JAN19,1205,PLNK,29JAN19,JBU,   7 ,10,29,20190129,20190129,2346,0522,571   ,20190127,SC05,FLL ,1846,08,-0500,LAS ,2122,-0800,32M ,,,,1846,2346,,,,E10 ,2122,0522,,,621 ,,,,,,0,,,32H ,,5143519,,,,0,0,0,>   8 ,,JFK,3,0,2019-01-29 23:46:00.000,0,2019-01-30 05:22:00.000,17,7,0,0,0007
,26JAN19,2201,PLNK,29JAN19,JBU,   8 ,10,29,20190129,20190130,0609,1040,571   ,20190126,SC05,LAS ,2209,DM,-0800,FLL ,0540,-0500,32M ,,,E10 ,2209,0609,,,,,0540,1040,,,621 ,,,,,,0,,,32H ,,5143532,,,,0,0,0,>1557 ,,JFK,3,0,2019-01-30 06:09:00.000,0,2019-01-30 10:40:00.000,18,7,0,0,0008
,27JAN19,1204,PLNK,29JAN19,JBU,  11 ,10,29,20190129,20190130,0155,0451,283   ,20190127,SC30,BOS ,2055,08,-0500,ORD ,2251,-0600,E90 ,,J,C30 ,2055,0155,,,,L2A ,2251,0451,,,337 ,,,,,,0,,,E90 ,,5143553,,,,0,0,0,> 412 ,,JFK,3,0,2019-01-30 01:55:00.000,0,2019-01-30 04:51:00.000,18,7,0,0,0011
,27JAN19,1205,PLNK,29JAN19,JBU,  14 ,10,29,20190129,20190130,0440,0950,615   ,20190127,AU01,LGB ,2040,08,-0800,JFK ,0450,-0500,320 ,,,,2040,0440,,,,,0450,0950,,,526 ,,,,,,0,,,320 ,,5143566,,,,0,0,0,> 359 ,,JFK,3,0,2019-01-30 04:40:00.000,0,2019-01-30 09:50:00.000,13,7,0,0,0014
,29JAN19,1217,POST,29JAN19,JBU,  15 ,10,29,20190129,20190129,1200,1842,977   ,20190129,AU01,JFK ,0700,09,-0500,SFO ,1042,-0800,32S ,,,,0700,1200,,1201,1217,,1030,1830,,,976 ,,,,,,0,,,32S ,,5143578,,,,0,0,0,> 416 ,,JFK,3,1,2019-01-29 12:01:00.000,0,2019-01-29 18:30:00.000,29,7,0,0,0015
,29JAN19,1431,POST,29JAN19,JBU,  16 ,10,29,20190129,20190129,1430,1955,985   ,20190129,,SFO ,0630,09,-0800,JFK ,1455,-0500,32S ,,,,0630,1430,,1417,1430,,1440,1940,,,,,,,,,0,,,32S ,,5143590,,,,0,0,0,>  89 ,,JFK,3,1,2019-01-29 14:17:00.000,3,2019-01-29 19:40:00.000,15,7,0,0,0016
,27JAN19,0747,POST,29JAN19,JBU,  18 ,10,29,20190129,20190129,1959,2117,351   ,20190127,SC06,JFK ,1459,02,-0500,BOS ,1617,-0500,E90 ,,J,,1459,1959,,,,C26 ,1617,2117,,,355 ,,,,,,0,,,E90 ,,5143598,,,,0,0,0,> 755 ,,JFK,3,0,2019-01-29 19:59:00.000,0,2019-01-29 21:17:00.000,29,7,0,0,0018
,27JAN19,1236,POST,29JAN19,JBU,  19 ,10,29,20190129,20190129,2100,0339,992   ,20190127,SC14,BOS ,1600,08,-0500,SAN ,1939,-0800,32S ,,,C8  ,1600,2100,,,,,1939,0339,,,929 ,,,,,,0,,,32S ,,5143616,,,,0,0,0,>  90 ,,JFK,3,1,2019-01-29 21:00:00.000,0,2019-01-30 03:39:00.000,18,7,0,0,0019
,27JAN19,1204,PLNK,29JAN19,JBU,  20 ,10,29,20190129,20190130,0515,1033,985   ,20190127,,SAN ,2115,05,-0800,BOS ,0533,-0500,32S ,,,,2115,0515,,,,,0533,1033,,,,,,,,,0,,,32S ,,5143629,,,,0,0,0,>  19 ,,JFK,3,0,2019-01-30 05:15:00.000,0,2019-01-30 10:33:00.000,19,7,0,0,0020
,27JAN19,1204,PLNK,29JAN19,JBU,  22 ,10,29,20190129,20190130,0120,0417,583   ,20190127,,PBI ,2020,12,-0500,BOS ,2317,-0500,320 ,,,,2020,0120,,,,,2317,0417,,,,,,,,,0,,,320 ,,5143643,,,,0,0,0,>2523 ,,JFK,3,0,2019-01-30 01:20:00.000,0,2019-01-30 04:17:00.000,14,7,0,0,0022
,29JAN19,1052,POST,29JAN19,JBU,  23 ,10,29,20190129,20190129,1040,1704,943   ,20190129,SC05,JFK ,0540,15,-0500,LAX ,0904,-0800,32S ,,,,0540,1040,,1036,1052,59  ,0847,1647,,,944 ,,,,,,0,,,32S ,,5143654,,,,0,0,0,> 324 ,,JFK,3,1,2019-01-29 10:36:00.000,3,2019-01-29 16:47:00.000,29,7,0,0,0023
,29JAN19,1345,POST,29JAN19,JBU,  24 ,10,29,20190129,20190129,1340,1858,989   ,20190129,,LAX ,0540,08,-0800,JFK ,1358,-0500,32S ,,,59  ,0540,1340,,1333,1345,,1348,1848,,,,,,,,,0,,,32S ,,5143666,,,,0,0,0,> 915 ,,JFK,3,1,2019-01-29 13:33:00.000,0,2019-01-29 18:48:00.000,15,7,0,0,0024
,27JAN19,0645,POST,29JAN19,JBU,  27 ,10,29,20190129,20190129,1050,1343,323   ,20190127,SC08,EWR ,0550,16,-0500,MCO ,0843,-0500,E90 ,,,,0550,1050,,,,4   ,0843,1343,,,203 ,,,,,,0,,,E90 ,,5143678,,,,0,0,0,>1033 ,,JFK,3,1,2019-01-29 10:50:00.000,3,2019-01-29 13:43:00.000,25,7,0,0,0027
,29JAN19,1528,POST,29JAN19,JBU,  28 ,10,29,20190129,20190129,1532,1814,524   ,20190129,,MCO ,1032,13,-0500,EWR ,1314,-0500,320 ,,,4   ,1032,1532,,,1528,16  ,1254,1754,,,,,,,,,0,,,320 ,,5143696,,,,0,0,0,>1527 ,,JFK,3,0,2019-01-29 15:32:00.000,0,2019-01-29 17:54:00.000,16,7,0,0,0028
,26JAN19,1209,PLNK,29JAN19,JBU,  38 ,10,29,20190129,20190129,2001,2300,632   ,20190126,SC03,SJO ,1401,04,-0600,FLL ,1800,-0500,32M ,,,,1401,2001,,,,,1800,2300,,,568 ,,,,,,0,,,32M ,,5143716,,,,0,0,0,>1149 ,,JFK,3,0,2019-01-29 20:01:00.000,0,2019-01-29 23:00:00.000,15,7,0,0,0038
,29JAN19,1607,POST,29JAN19,JBU,  39 ,10,29,20190129,20190129,1556,1859,632   ,20190129,SC03,FLL ,1056,04,-0500,SJO ,1259,-0600,32M ,,,,1056,1556,,1607,,,1310,1910,,,568 ,,,,,,0,,,32M ,,5143730,,,,0,0,0,>  38 ,,JFK,3,0,2019-01-29 16:07:00.000,0,2019-01-29 19:10:00.000,17,7,0,0,0039
,29JAN19,1329,POST,29JAN19,JBU,  40 ,10,29,20190129,20190129,1523,1856,587   ,20190129,SC05,MDE ,1023,11,-0500,FLL ,1356,-0500,320 ,,,,1232,1732,,,,,1605,2105,,,589 ,,,,,,0,,,320 ,,5143740,,,,0,0,0,> 511 ,,JFK,3,0,2019-01-29 17:32:00.000,0,2019-01-29 21:05:00.000,15,7,0,0,0040
,29JAN19,1550,POST,29JAN19,JBU,  41 ,10,29,20190129,20190129,1100,1423,587   ,20190129,SC05,FLL ,0600,13,-0500,MDE ,0923,-0500,320 ,,,,0600,1100,,1324,1333,,1046,1546,1539,1548,589 ,,,,,,0,,,320 ,,5143752,,,,0,0,0,>  40 ,,JFK,3,1,2019-01-29 13:24:00.000,3,2019-01-29 15:48:00.000,17,7,0,0,0041
,27JAN19,1205,PLNK,29JAN19,JBU,  42 ,10,29,20190129,20190129,1917,2042,615   ,20190127,AU01,LGB ,1117,06,-0800,RNO ,1242,-0800,320 ,,,,1117,1917,,,,B6  ,1242,2042,,,526 ,,,,,,0,,,320 ,,5143765,,,,0,0,0,>  43 ,,JFK,3,0,2019-01-29 19:17:00.000,0,2019-01-29 20:42:00.000,13,7,0,0,0042
,26JAN19,1209,PLNK,29JAN19,JBU,  43 ,10,29,20190129,20190129,2125,2247,615   ,20190126,AU01,RNO ,1325,06,-0800,LGB ,1447,-0800,320 ,,,B6  ,1325,2125,,,,,1447,2247,,,526 ,,,,,,0,,,320 ,,5143778,,,,0,0,0,> 532 ,,JFK,3,0,2019-01-29 21:25:00.000,0,2019-01-29 22:47:00.000,15,7,0,0,0043
,29JAN19,1610,POST,29JAN19,JBU,  49 ,10,29,20190129,20190129,1609,1858,258   ,20190129,SC05,BOS ,1109,08,-0500,SAV ,1358,-0500,E90 ,,,C32 ,1109,1609,,1556,1609,,1340,1840,,,355 ,,,,,,0,,,E90 ,,5143799,,,,0,0,0,>  50 ,,JFK,3,0,2019-01-29 15:56:00.000,0,2019-01-29 18:40:00.000,18,7,0,0,0049
,27JAN19,1205,PLNK,29JAN19,JBU,  50 ,10,29,20190129,20190129,1933,2152,258   ,20190127,SC05,SAV ,1433,14,-0500,BOS ,1652,-0500,E90 ,,,,1433,1933,,,,C32 ,1652,2152,,,355 ,,,,,,0,,,E90 ,,5143810,,,,0,0,0,>2983 ,,JFK,3,0,2019-01-29 19:33:00.000,0,2019-01-29 21:52:00.000,15,7,0,0,0050
,29JAN19,1339,POST,29JAN19,JBU,  51 ,10,29,20190129,20190129,1035,1355,994   ,20190129,,BOS ,0535,16,-0500,MCO ,0855,-0500,321 ,,,C20 ,0535,1035,,1025,1038,6   ,0839,1339,1332,1337,,,,,,,0,,,321 ,,5143825,,,,0,0,0,> 490 ,,JFK,3,1,2019-01-29 10:25:00.000,3,2019-01-29 13:37:00.000,18,7,0,0,0051
,29JAN19,1523,POST,29JAN19,JBU,  52 ,10,29,20190129,20190129,1300,1552,971   ,20190129,,MCO ,0800,10,-0500,BOS ,1052,-0500,321 ,,,6   ,0800,1300,,1250,1306,C21 ,1021,1521,1514,1520,,,,,,,0,,,321 ,,5143838,,,,0,0,0,> 451 ,,JFK,3,1,2019-01-29 12:50:00.000,0,2019-01-29 15:20:00.000,16,7,0,0,0052
