recordStatus,lastDateModified,lastTimeModified,lastUserToModify,legDepartureDate,airlineCode,identifier,sequence,flightOriginDay,numericFlightDate,numGMTDate,STDudt,STAudt,tailNumber,numLastDateModified,flightStatus,origin,STDLocal,dispatchDesk,STDGMTVariance,destination,STALocal,STAGMTVariance,OAGEquipmentType,ACConfiguration,serviceType,originGate,ETDlocal,ETDudt,TAXIutc,OUTudt,OFFudt,destinationGate,ETAlocal,ETAudt,ONudt,INudt,previousTailNumber,ETE,DCNutc,ETOutc,EONutc,EDTCutc,flightType,newDepartureCity,newArrivalCity,SchedOAGEquipType,OAGEquipSubType,csvFSDailyID,tailNumBeforeCancel,CTAUTC,cancelled,replaced,ATCStatus,scheduledFlightType,aircraftRouting,mealService,hub,landingRestriction,headStartFlight,actualDeparture,specialFlight,actualArrival,scheduledTaxiOut,scheduledTaxiIn,STOSetByUser,STISetByUser,CTFlightNumber
,26JAN19,2003,MJOH,31JAN19,JBU,   3 ,10,31,20190131,20190131,2030,0027,607   ,20190126,SC06,JFK ,1530,DM,-0500,SJU ,2027,-0400,320 ,,J,,1530,2030,,,,,2027,0027,,,643 ,,,,,,0,,,320 ,,5143480,,,,0,0,0,>1234 ,,JFK,2,0,2019-01-31 20:30:00.000,0,2019-02-01 00:27:00.000,29,7,0,0,0003
,24JAN19,1103,BM66,31JAN19,JBU,   4 ,10,31,20190131,20190201,0126,0521,524   ,20190124,,SJU ,2126,DM,-0400,JFK ,0021,-0500,320 ,,,,2126,0126,,,,,0021,0521,,,,,,,,,0,,,320 ,,5143494,,,,0,0,0,>1403 ,,JFK,2,0,2019-02-01 01:26:00.000,0,2019-02-01 05:21:00.000,17,7,0,0,0004
,24JAN19,1545,BM66,31JAN19,JBU,   6 ,10,31,20190131,20190131,1939,2244,526   ,20190124,AU01,FLL ,1439,DM,-0500,EWR ,1744,-0500,320 ,,,,1439,1939,,,,,1744,2244,,,615 ,,,,,,0,,,320 ,,5143509,,,,0,0,0,> 905 ,,JFK,2,0,2019-01-31 19:39:00.000,0,2019-01-31 22:44:00.000,17,7,0,0,0006
,26JAN19,0621,ds43,31JAN19,JBU,   7 ,10,31,20190131,20190131,2346,0522,580   ,20190126,SC05,FLL ,1846,DM,-0500,LAS ,2122,-0800,32M ,,,,1846,2346,,,,E10 ,2122,0522,,,632 ,,,,,,0,,,32M ,,5143522,,,,0,0,0,>   8 ,,JFK,2,0,2019-01-31 23:46:00.000,0,2019-02-01 05:22:00.000,17,7,0,0,0007
,26JAN19,0621,ds43,31JAN19,JBU,   8 ,10,31,20190131,20190201,0609,1040,580   ,20190126,SC05,LAS ,2209,DM,-0800,FLL ,0540,-0500,32M ,,,E10 ,2209,0609,,,,,0540,1040,,,632 ,,,,,,0,,,32M ,,5143536,,,,0,0,0,>1557 ,,JFK,2,0,2019-02-01 06:09:00.000,0,2019-02-01 10:40:00.000,18,7,0,0,0008
,27JAN19,0658,GDIC,31JAN19,JBU,   9 ,10,31,20190131,20190131,2221,0059,703   ,20190127,SC20,BZN ,1521,DM,-0700,LGB ,1659,-0800,320 ,,,,1521,2221,,,,,1659,0059,,,586 ,,,,,,0,,,320 ,,5143541,,,,0,0,0,>1006 ,,JFK,2,0,2019-01-31 22:21:00.000,0,2019-02-01 00:59:00.000,15,7,0,0,0009
,27JAN19,0658,GDIC,31JAN19,JBU,  10 ,10,31,20190131,20190131,1905,2141,703   ,20190127,SC20,LGB ,1105,DM,-0800,BZN ,1441,-0700,320 ,,,,1105,1905,,,,,1441,2141,,,586 ,,,,,,0,,,320 ,,5143545,,,,0,0,0,>   9 ,,JFK,2,0,2019-01-31 19:05:00.000,0,2019-01-31 21:41:00.000,13,7,0,0,0010
,26JAN19,1811,al35,31JAN19,JBU,  11 ,10,31,20190131,20190201,0155,0451,266   ,20190126,,BOS ,2055,DM,-0500,ORD ,2251,-0600,E90 ,,,,2055,0155,,,,L2A ,2251,0451,,,,,,,,,0,,,E90 ,,5143555,,,,0,0,0,> 412 ,,JFK,2,0,2019-02-01 01:55:00.000,0,2019-02-01 04:51:00.000,18,7,0,0,0011
,27JAN19,0102,GDIC,31JAN19,JBU,  14 ,10,31,20190131,20190201,0440,0950,805   ,20190127,SC05,LGB ,2040,DM,-0800,JFK ,0450,-0500,32A ,,,,2040,0440,,,,,0450,0950,,,516 ,,,,,,0,,,320 ,,5143571,,,,0,0,0,> 949 ,,JFK,2,0,2019-02-01 04:40:00.000,0,2019-02-01 09:50:00.000,13,7,0,0,0014
,24JAN19,1102,BM66,31JAN19,JBU,  15 ,10,31,20190131,20190131,1200,1842,985   ,20190124,,JFK ,0700,DM,-0500,SFO ,1042,-0800,32S ,,,,0700,1200,,,,,1042,1842,,,,,,,,,0,,,32S ,,5143580,,,,0,0,0,> 416 ,,JFK,2,1,2019-01-31 12:00:00.000,0,2019-01-31 18:42:00.000,29,7,0,0,0015
