recordStatus,lastDateModified,lastTimeModified,lastUserToModify,legDepartureDate,airlineCode,identifier,sequence,flightOriginDay,numericFlightDate,numGMTDate,STDudt,STAudt,tailNumber,numLastDateModified,flightStatus,origin,STDLocal,dispatchDesk,STDGMTVariance,destination,STALocal,STAGMTVariance,OAGEquipmentType,ACConfiguration,serviceType,originGate,ETDlocal,ETDudt,TAXIutc,OUTudt,OFFudt,destinationGate,ETAlocal,ETAudt,ONudt,INudt,previousTailNumber,ETE,DCNutc,ETOutc,EONutc,EDTCutc,flightType,newDepartureCity,newArrivalCity,SchedOAGEquipType,OAGEquipSubType,csvFSDailyID,tailNumBeforeCancel,CTAUTC,cancelled,replaced,ATCStatus,scheduledFlightType,aircraftRouting,mealService,hub,landingRestriction,headStartFlight,actualDeparture,specialFlight,actualArrival,scheduledTaxiOut,scheduledTaxiIn,STOSetByUser,STISetByUser,CTFlightNumber
,26JAN19,1211,PLNK,29JAN19,JBU,   3 ,10,29,20190129,20190129,2030,0027,-J2003,20190126,,JFK ,1530,DM,-0500,SJU ,2027,-0400,320 ,,,,1530,2030,,,,,2027,0027,,,,,,,,,0,,,320 ,,5143484,,,,0,0,0,>   4 ,,JFK,3,0,2019-01-29 20:30:00.000,0,2019-01-30 00:27:00.000,0,0,0,0,0003
,28JAN19,2021,PLNK,29JAN19,JBU,   4 ,10,29,20190129,20190130,0126,0521,-J2004,20190128,,SJU ,2126,DM,-0400,JFK ,0021,-0500,320 ,,,,2126,0126,,,,,0021,0521,,,,,,,,,0,,,320 ,,5143492,,,,0,0,0,>1403 ,,JFK,3,0,2019-01-30 01:26:00.000,0,2019-01-30 05:21:00.000,0,0,0,0,0004
,26JAN19,1211,PLNK,29JAN19,JBU,   6 ,10,29,20190129,20190129,1939,2244,-J2006,20190126,,FLL ,1439,DM,-0500,EWR ,1744,-0500,320 ,,,,1439,1939,,,,,1744,2244,,,,,,,,,0,,,320 ,,5143508,,,,0,0,0,> 905 ,,JFK,3,0,2019-01-29 19:39:00.000,0,2019-01-29 22:44:00.000,0,0,0,0,0006
,28JAN19,2021,PLNK,29JAN19,JBU,   7 ,10,29,20190129,20190129,2346,0522,-J9007,20190128,,FLL ,1846,DM,-0500,LAS ,2122,-0800,32H ,,,,1846,2346,,,,,2122,0522,,,,,,,,,0,,,32H ,,5143519,,,,0,0,0,>   8 ,,JFK,3,0,2019-01-29 23:46:00.000,0,2019-01-30 05:22:00.000,0,0,0,0,0007
,28JAN19,2021,PLNK,29JAN19,JBU,   8 ,10,29,20190129,20190130,0609,1040,-J9008,20190128,,LAS ,2209,DM,-0800,FLL ,0540,-0500,32H ,,,,2209,0609,,,,,0540,1040,,,,,,,,,0,,,32H ,,5143532,,,,0,0,0,>1557 ,,JFK,3,0,2019-01-30 06:09:00.000,0,2019-01-30 10:40:00.000,0,0,0,0,0008
,28JAN19,2021,PLNK,29JAN19,JBU,  11 ,10,29,20190129,20190130,0155,0451,-J5011,20190128,,BOS ,2055,DM,-0500,ORD ,2251,-0600,E90 ,,,,2055,0155,,,,,2251,0451,,,,,,,,,0,,,E90 ,,5143553,,,,0,0,0,> 412 ,,JFK,3,0,2019-01-30 01:55:00.000,0,2019-01-30 04:51:00.000,0,0,0,0,0011
,28JAN19,2021,PLNK,29JAN19,JBU,  14 ,10,29,20190129,20190130,0440,0950,-J2014,20190128,,LGB ,2040,DM,-0800,JFK ,0450,-0500,320 ,,,,2040,0440,,,,,0450,0950,,,,,,,,,0,,,320 ,,5143566,,,,0,0,0,> 359 ,,JFK,3,0,2019-01-30 04:40:00.000,0,2019-01-30 09:50:00.000,0,0,0,0,0014
,28JAN19,2021,PLNK,29JAN19,JBU,  15 ,10,29,20190129,20190129,1200,1842,-J8015,20190128,,JFK ,0700,DM,-0500,SFO ,1042,-0800,32S ,,,,0700,1200,,,,,1042,1842,,,,,,,,,0,,,32S ,,5143578,,,,0,0,0,> 416 ,,JFK,3,0,2019-01-29 12:00:00.000,0,2019-01-29 18:42:00.000,0,0,0,0,0015
,28JAN19,2021,PLNK,29JAN19,JBU,  16 ,10,29,20190129,20190129,1430,1955,-J8016,20190128,,SFO ,0630,DM,-0800,JFK ,1455,-0500,32S ,,,,0630,1430,,,,,1455,1955,,,,,,,,,0,,,32S ,,5143590,,,,0,0,0,>  89 ,,JFK,3,0,2019-01-29 14:30:00.000,0,2019-01-29 19:55:00.000,0,0,0,0,0016
,26JAN19,1211,PLNK,29JAN19,JBU,  18 ,10,29,20190129,20190129,1959,2117,-J5018,20190126,,JFK ,1459,DM,-0500,BOS ,1617,-0500,E90 ,,,,1459,1959,,,,,1617,2117,,,,,,,,,0,,,E90 ,,5143598,,,,0,0,0,> 755 ,,JFK,3,0,2019-01-29 19:59:00.000,0,2019-01-29 21:17:00.000,0,0,0,0,0018
