recordStatus,lastDateModified,lastTimeModified,lastUserToModify,legDepartureDate,airlineCode,identifier,sequence,flightOriginDay,numericFlightDate,numGMTDate,STDudt,STAudt,tailNumber,numLastDateModified,flightStatus,origin,STDLocal,dispatchDesk,STDGMTVariance,destination,STALocal,STAGMTVariance,OAGEquipmentType,ACConfiguration,serviceType,originGate,ETDlocal,ETDudt,TAXIutc,OUTudt,OFFudt,destinationGate,ETAlocal,ETAudt,ONudt,INudt,previousTailNumber,ETE,DCNutc,ETOutc,EONutc,EDTCutc,flightType,newDepartureCity,newArrivalCity,SchedOAGEquipType,OAGEquipSubType,csvFSDailyID,tailNumBeforeCancel,CTAUTC,cancelled,replaced,ATCStatus,scheduledFlightType,aircraftRouting,mealService,hub,landingRestriction,headStartFlight,actualDeparture,specialFlight,actualArrival,scheduledTaxiOut,scheduledTaxiIn,STOSetByUser,STISetByUser,CTFlightNumber
,01AUG18,1204,PLNK,04AUG18,JBU,   1 ,10,04,20180804,20180804,1458,1807,954   ,20180801,,JFK ,1058,DM,-0400,FLL ,1407,-0400,321 ,,,,1058,1458,,,,,1407,1807,,,,,,,,,0,,,321 ,,4903331,,,,0,0,0,> 202 ,,JFK,3,0,2018-08-04 14:58:00.000,0,2018-08-04 18:07:00.000,29,7,0,0,0001
,01AUG18,1204,PLNK,04AUG18,JBU,   7 ,10,04,20180804,20180804,2250,0400,558   ,20180801,,FLL ,1850,DM,-0400,LAS ,2100,-0700,320 ,,,,1850,2250,,,,E10 ,2100,0400,,,,,,,,,0,,,320 ,,4903342,,,,0,0,0,>   8 ,,JFK,3,0,2018-08-04 22:50:00.000,0,2018-08-05 04:00:00.000,17,7,0,0,0007
,01AUG18,1204,PLNK,04AUG18,JBU,   8 ,10,04,20180804,20180805,0450,0948,558   ,20180801,,LAS ,2150,DM,-0700,FLL ,0548,-0400,320 ,,,E10 ,2150,0450,,,,,0548,0948,,,,,,,,,0,,,320 ,,4903354,,,,0,0,0,>1423 ,,JFK,3,0,2018-08-05 04:50:00.000,0,2018-08-05 09:48:00.000,18,7,0,0,0008
,01AUG18,1204,PLNK,04AUG18,JBU,  11 ,10,04,20180804,20180805,0035,0325,712   ,20180801,,BOS ,2035,DM,-0400,ORD ,2225,-0500,320 ,,,,2035,0035,,,,,2225,0325,,,,,,,,,0,,,320 ,,4903368,,,,0,0,0,> 412 ,,JFK,3,0,2018-08-05 00:35:00.000,0,2018-08-05 03:25:00.000,18,7,0,0,0011
,01AUG18,1204,PLNK,04AUG18,JBU,  14 ,10,04,20180804,20180805,0346,0905,657   ,20180801,SC05,LGB ,2046,DM,-0700,JFK ,0505,-0400,320 ,,,,2046,0346,,,,,0505,0905,,,585 ,,,,,,0,,,320 ,,4903376,,,,0,0,0,> 949 ,,JFK,2,0,2018-08-05 03:46:00.000,0,2018-08-05 09:05:00.000,13,7,0,0,0014
,01AUG18,1204,PLNK,04AUG18,JBU,  15 ,10,04,20180804,20180804,1029,1638,986   ,20180801,,JFK ,0629,DM,-0400,SFO ,0938,-0700,32S ,,,,0629,1029,,,,,0938,1638,,,,,,,,,0,,,32S ,,4903386,,,,0,0,0,> 416 ,,JFK,2,1,2018-08-04 10:29:00.000,3,2018-08-04 16:38:00.000,29,7,0,0,0015
,01AUG18,1204,PLNK,04AUG18,JBU,  16 ,10,04,20180804,20180804,1330,1909,946   ,20180801,,SFO ,0630,DM,-0700,JFK ,1509,-0400,32S ,,,,0630,1330,,,,,1509,1909,,,,,,,,,0,,,32S ,,4903397,,,,0,0,0,>  89 ,,JFK,3,1,2018-08-04 13:30:00.000,0,2018-08-04 19:09:00.000,15,7,0,0,0016
,01AUG18,1204,PLNK,04AUG18,JBU,  19 ,10,04,20180804,20180804,2040,0257,968   ,20180801,SC05,BOS ,1640,DM,-0400,SAN ,1957,-0700,32S ,,,,1640,2040,,,,,1957,0257,,,984 ,,,,,,0,,,32S ,,4903408,,,,0,0,0,>  90 ,,JFK,3,0,2018-08-04 20:40:00.000,0,2018-08-05 02:57:00.000,18,7,0,0,0019
,01AUG18,1204,PLNK,04AUG18,JBU,  20 ,10,04,20180804,20180805,0343,0908,946   ,20180801,,SAN ,2043,DM,-0700,BOS ,0508,-0400,32S ,,,,2043,0343,,,,,0508,0908,,,,,,,,,0,,,32S ,,4903419,,,,0,0,0,> 133 ,,JFK,2,0,2018-08-05 03:43:00.000,0,2018-08-05 09:08:00.000,19,7,0,0,0020
,01AUG18,1204,PLNK,04AUG18,JBU,  21 ,10,04,20180804,20180804,1402,1717,183   ,20180801,SC05,BOS ,1002,DM,-0400,PBI ,1317,-0400,E90 ,,,,1002,1402,,,,,1317,1717,,,316 ,,,,,,0,,,E90 ,,4903436,,,,0,0,0,> 122 ,,JFK,3,0,2018-08-04 14:02:00.000,0,2018-08-04 17:17:00.000,18,7,0,0,0021
,01AUG18,1204,PLNK,04AUG18,JBU,  23 ,10,04,20180804,20180804,0959,1553,980   ,20180801,SC05,JFK ,0559,DM,-0400,LAX ,0853,-0700,32S ,,,,0559,0959,,,,,0853,1553,,,976 ,,,,,,0,,,32S ,,4903450,,,,0,0,0,> 324 ,,JFK,3,1,2018-08-04 09:59:00.000,3,2018-08-04 15:53:00.000,29,7,0,0,0023
,01AUG18,1204,PLNK,04AUG18,JBU,  25 ,10,04,20180804,20180804,1245,1737,981   ,20180801,,BOS ,0845,DM,-0400,BGI ,1337,-0400,32S ,,,,0845,1245,,,,,1337,1737,,,,,,,,,0,,,32S ,,4903459,,,,0,0,0,>  44 ,,JFK,3,1,2018-08-04 12:45:00.000,0,2018-08-04 17:37:00.000,18,7,0,0,0025
